istanza,Q,n,K,obiettivo,variante,stato,obj,bound,gap,tempo,nodi_bb,veicoli,costo,regret,regret_grezzo,regret_max,regret_max_grezzo,rifiuti,ar,regret_medio_servito,time_limit,mip_gap,nota
Trieste_Q3.20.1,3,20,5,fc,II,ottimo,155.40009999999998,155.40009999999998,0.0,0.026999950408935547,1.0,5,155.40009999999998,125.90599999999995,180.21879999999953,30.470799999999997,30.470799999999997,0,100.0,6.2952999999999975,600.0,0.0,
Trieste_Q3.20.1,3,20,5,fr,II,ottimo,73.34879999999968,73.34879999999968,0.0,0.31999993324279785,163.0,5,179.2584,73.34879999999998,73.34879999999973,12.328000000000003,12.328000000000003,0,100.0,3.667439999999999,600.0,0.0,
Trieste_Q3.20.1,3,20,5,fcr,II,ottimo,247.76641085981768,247.76641085981768,0.0,0.17400002479553223,185.0,5,171.5205,76.24600000000001,76.2458975744481,27.493600000000015,27.493600000000015,0,100.0,3.8123000000000005,600.0,0.0,
Trieste_Q3.20.1,3,20,5,frcr,II,ottimo,190.83169999999885,190.83169999999882,0.0,0.05299997329711914,1.0,5,131.9301,18.901599999999966,18.901599999999135,7.038800000000009,7.038799999999796,2,90.0,1.050088888888887,600.0,0.0,
Trieste_Q3.20.1,3,20,5,frmax,II,ottimo,10.487599998851241,10.487599998851241,0.0,0.06100010871887207,1.0,5,186.4959,103.3108,120.885999995405,10.4876,10.487599999999986,0,100.0,5.16554,600.0,0.0,
Trieste_Q3.20.1,3,20,5,fcrmax,II,ottimo,214.5507000000001,214.55070000000006,0.0,0.125,1.0,5,167.9971,107.29840000000004,107.2983999999999,11.638400000000019,11.638400000000019,0,100.0,5.364920000000002,600.0,0.0,
Trieste_Q3.20.2,3,20,5,fc,II,ottimo,152.0772,152.0772,0.0,0.014999866485595703,1.0,5,152.0772,106.59039999999997,233.42759999999993,20.338399999999993,23.416799999999995,0,100.0,5.329519999999999,600.0,0.0,
Trieste_Q3.20.2,3,20,5,fr,II,ottimo,34.21679999999982,34.21679999999982,0.0,0.015000104904174805,1.0,5,180.05270000000002,34.21679999999998,34.21679999999992,11.646399999999971,11.6464,0,100.0,1.7108399999999988,600.0,0.0,
Trieste_Q3.20.2,3,20,5,fcr,II,ottimo,207.79959999999983,207.79959999999983,0.0,0.019999980926513672,1.0,5,167.29840000000002,40.50119999999998,40.50119999999984,11.646399999999971,11.6464,0,100.0,2.025059999999999,600.0,0.0,
Trieste_Q3.20.2,3,20,5,frcr,II,ottimo,173.796,173.796,0.0,0.016000032424926758,1.0,5,113.79599999999999,0.0,0.0,0.0,0.0,3,85.0,0.0,600.0,0.0,
Trieste_Q3.20.2,3,20,5,frmax,II,ottimo,11.646399999999929,11.646399999999929,0.0,0.009000062942504883,1.0,5,176.9837,64.66400000000003,110.47084774899889,11.646399999999971,11.646399999999971,0,100.0,3.2332000000000014,600.0,0.0,
Trieste_Q3.20.2,3,20,5,fcrmax,II,ottimo,204.2376999999997,204.2376999999997,0.0,0.019999980926513672,1.0,5,157.6521,69.82399999999998,119.63639999999899,11.646399999999971,11.646399999999971,0,100.0,3.491199999999999,600.0,0.0,
Trieste_Q3.20.3,3,20,4,fc,II,ottimo,114.72749999999999,114.72749999999999,0.0,0.013000011444091797,1.0,4,114.72749999999999,35.023200000000024,131.65079999999986,12.86760000000001,15.000000000000043,0,100.0,1.7511600000000012,600.0,0.0,
Trieste_Q3.20.3,3,20,4,fr,II,ottimo,33.41199999999972,33.41199999999972,0.0,0.03899979591369629,1.0,4,125.4138,33.41200000000003,33.41199999999986,10.95320000000001,10.95320000000001,0,100.0,1.6706000000000014,600.0,0.0,
Trieste_Q3.20.3,3,20,4,fcr,II,ottimo,149.18029999999965,149.18029999999965,0.0,0.026000022888183594,1.0,4,115.7683,33.41200000000003,33.41199999999977,10.95320000000001,10.95320000000001,0,100.0,1.6706000000000014,600.0,0.0,
Trieste_Q3.20.3,3,20,4,frcr,II,ottimo,143.16229999999945,143.16229999999945,0.0,0.03099989891052246,1.0,4,99.3931,23.769200000000033,23.769199999999618,10.95320000000001,10.95320000000001,1,95.0,1.2510105263157911,600.0,0.0,
Trieste_Q3.20.3,3,20,4,frmax,II,ottimo,10.953199999999917,10.953199999999917,0.0,0.017000198364257812,1.0,4,135.2363,48.855200000000046,53.171199999999295,10.95320000000001,10.953199999999924,0,100.0,2.4427600000000025,600.0,0.0,
Trieste_Q3.20.3,3,20,4,fcrmax,II,ottimo,159.58110000000002,159.58110000000002,0.0,0.031000137329101562,1.0,4,115.7683,33.41200000000003,72.82458598442682,10.95320000000001,10.95320000000001,0,100.0,1.6706000000000014,600.0,0.0,
Trieste_Q3.20.4,3,20,4,fc,II,ottimo,131.8,131.79999999999998,0.0,0.014000177383422852,1.0,4,131.8,126.1348,148.6692,25.70920000000001,25.70920000000001,0,100.0,6.30674,600.0,0.0,
Trieste_Q3.20.4,3,20,4,fr,II,ottimo,76.24959999999965,76.24959999999965,0.0,0.02700018882751465,1.0,4,144.6947,76.24960000000002,76.24959999999973,25.70920000000001,25.70920000000001,0,100.0,3.8124800000000008,600.0,0.0,
Trieste_Q3.20.4,3,20,4,fcr,II,ottimo,213.2688,213.2688,0.0,0.0280001163482666,1.0,4,136.9048,76.36400000000002,76.36400000000002,25.70920000000001,25.70920000000001,0,100.0,3.818200000000001,600.0,0.0,
Trieste_Q3.20.4,3,20,4,frcr,II,ottimo,152.41129999999976,152.41129999999976,0.0,0.01699995994567871,1.0,4,110.2285,2.1828000000000003,2.182799999999787,2.068399999999997,2.068399999999883,2,90.0,0.12126666666666669,600.0,0.0,
Trieste_Q3.20.4,3,20,4,frmax,II,ottimo,14.880399999999494,14.880399999999494,0.0,0.015999794006347656,1.0,4,147.753,84.61559999999999,84.61559999999876,14.880400000000009,14.880399999999696,0,100.0,4.230779999999999,600.0,0.0,
Trieste_Q3.20.4,3,20,4,fcrmax,II,ottimo,199.9701999999997,199.9701999999997,0.0,0.03099989891052246,1.0,4,140.4486,95.32279999999999,104.60119999999974,14.880400000000009,14.880400000000009,0,100.0,4.766139999999999,600.0,0.0,
Trieste_Q3.20.5,3,20,4,fc,II,ottimo,107.32400000000001,107.32399999999998,0.0,0.03099989891052246,1.0,4,107.324,73.69800000000001,199.74780000000018,14.845200000000006,22.725600000000014,0,100.0,3.6849000000000003,600.0,0.0,
