istanza,serie,n,archi,modello,esito,costo,gap_perc,tempo_s,costo_paper,tempo_paper_s
a2-24,a,24,738,I,ottimo,431.1204,0.0,0.093,431.1,0.06
a2-24,a,24,738,II,ottimo,431.1204,0.0,0.049,431.1,0.05
a3-36,a,36,1629,I,ottimo,583.1871,0.0,0.313,583.2,0.09
a3-36,a,36,1629,II,ottimo,583.1871,0.0,0.248,583.2,0.11
a4-48,a,48,3928,I,ottimo,668.8182,0.0,0.917,668.8,0.67
a4-48,a,48,3928,II,ottimo,668.8182,0.0,0.451,668.8,0.5
a5-60,a,60,5396,I,ottimo,808.4234,0.0,1.911,808.4,1.41
a5-60,a,60,5396,II,ottimo,808.4234,0.0,0.758,808.4,1.03
a6-72,a,72,8435,I,ottimo,916.0489,0.0,7.422,916.1,17.88
a6-72,a,72,8435,II,ottimo,916.0489,0.0,5.243,916.1,13.87
a7-84,a,84,12694,I,ottimo,1033.3655,0.0,6.875,1033.3,35.7
a7-84,a,84,12694,II,ottimo,1033.3655,0.0,4.708,1033.3,5.89
a8-96,a,96,17260,I,ottimo,1229.6649,0.0,159.661,1229.7,3593.0
a8-96,a,96,17260,II,ottimo,1229.6649,0.0,49.152,1229.7,461.0
b2-24,b,24,712,I,ottimo,444.7082,0.0,0.043,444.7,0.06
b2-24,b,24,712,II,ottimo,444.7082,0.0,0.053,444.7,0.05
b3-36,b,36,1610,I,ottimo,603.7905,0.0,0.07,603.8,0.07
b3-36,b,36,1610,II,ottimo,603.7905,0.0,0.093,603.8,0.09
b4-48,b,48,4777,I,ottimo,673.8062,0.0,3.503,673.8,1.14
b4-48,b,48,4777,II,ottimo,673.8062,0.0,0.73,673.8,0.94
b5-60,b,60,5772,I,ottimo,902.0373,0.0,4.751,902.0,4.01
b5-60,b,60,5772,II,ottimo,902.0373,0.006,1.15,902.0,0.92
b6-72,b,72,8049,I,ottimo,978.4674,0.0,6.299,978.5,3.48
b6-72,b,72,8049,II,ottimo,978.4674,0.0,4.741,978.5,5.11
b7-84,b,84,11259,I,ottimo,1203.3725,0.0,2.091,1203.4,2.93
b7-84,b,84,11259,II,ottimo,1203.3725,0.0,1.831,1203.4,2.72
b8-96,b,96,18475,I,ottimo,1185.5476,0.0,22.128,1185.6,27.42
b8-96,b,96,18475,II,ottimo,1185.5476,0.0,14.842,1185.6,24.26
